 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Período:Jan/2019-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;-;-;-;-;207105,27;-;-;-;-;9194,73;-;-;-;-;-;-;-;-;17693,64;-;-;-;-;-;12077,41;-;-;-;40655,65;-;88368,89;9194,73;40804,76;-;-;-;-;-;-;-;-;-;-;40804,76;-;81609,52;-;-;7306,08;-;23707,51;-;-;-;-;23707,51;-;-;-;26043,47;-;-;-;-;-;-;-;7504,89;13369,64;-;23707,51;-;-;-;-;-;-;25198,55;-;-;42345,50;-;-;40804,76;8349,81;-;-;81609,52;16649,91;-;-;40804,76;57951,69;-;77384,90;-;-;-;-;-;23707,51;57454,69;8995,93;40804,76;12475,00;21620,06;-;26938,10;37425,04;1689,84;13717,54;3081,48;7723,21;5767,97;68179,73;109426,73;54279,13;97279,46;80175,83;576966,31;2126842,01;5836608,11;9201127,57;13128695,82;21161380,30;20770925,83;21775213,78;22206576,63;23819430,58;21613567,61;22137456,57;23073542,40;23438983,02;23086206,33;20354752,02;20140235,98;22205064,78;20518138,12;20939897,73;17722069,48;20430287,05;23027750,86;28608103,39;25721339,11;25098604,18;25257993,78;24312931,74;27277816,41;23228004,80;18186942,80;8733455,36;627451607,84
"25 Paraíba";7952,18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3976,09;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3976,09;-;-;-;-;-;-;-;-;-;3280,27;-;4324,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4324,00;4224,60;-;-;-;-;-;2932,37;-;-;-;-;-;-;-;8548,60;-;4324,00;8598,30;17594,23;16997,80;4224,60;44830,47;37557,41;54803,63;13760,74;1319,36;-;58262,73;28104,10;156775,91;463614,57;1729652,75;6127486,98;11258136,88;18423397,03;18238305,93;19056408,61;19990029,87;20599108,73;18616883,33;20454302,42;19863848,57;19261402,57;20237438,60;18802035,57;17370335,07;18515107,82;17316581,43;17656498,27;15598593,72;19622514,77;22668813,94;22092553,67;19346119,89;17712791,83;17427250,61;17799651,06;20355212,85;20149018,68;16996494,03;12517894,05;526758175,58
"26 Pernambuco";266200,12;-;-;-;64760,78;-;-;-;21620,06;28727,35;-;-;-;27186,61;-;-;-;-;12077,41;-;-;-;-;-;2224357,74;-;20079,32;82056,82;510485,87;-;-;106161,94;23160,77;66152,42;-;110933,27;-;41789,96;-;81410,71;23608,11;-;95177,96;41789,96;-;-;39413,13;47427,01;122462,52;7059,62;-;21620,06;-;-;38816,69;30591,68;8399,51;41789,96;-;-;40804,76;8399,51;41789,96;81609,52;21620,06;150092,82;-;-;-;27186,61;-;-;70517,31;21620,06;52090,40;-;-;57059,16;64631,65;-;-;52536,84;-;66377,95;-;27690,16;-;-;-;-;41789,96;69906,75;-;12885,52;-;51816,24;95936,56;-;-;-;52511,30;25347,66;-;-;41789,96;56271,34;38023,27;56271,34;76287,89;56271,34;-;-;41789,96;-;3589,38;41789,96;344416,72;204220,74;-;1165,18;675,33;34407,08;18877,48;39078,86;11422,76;22295,59;103460,15;83327,97;214857,86;2091079,62;8555558,95;31900195,54;67615269,40;62461656,17;64973108,61;66103159,27;72923235,09;66627067,42;71325233,07;71735983,26;70938289,32;71470287,05;68449011,11;64863296,06;69640191,25;62570634,25;59677257,54;54348938,48;66389300,32;71192450,86;73730927,63;76091056,19;73964434,93;72356982,69;71810830,78;77877186,72;76810042,34;62259409,32;39472738,81;1877054640,33
"27 Alagoas";271202,07;-;-;20106,00;-;41789,96;-;-;-;-;-;-;-;-;27792,11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13234,33;-;-;-;-;-;-;-;-;235475,89;-;-;36331,65;-;41789,96;-;-;-;-;30795,28;-;-;-;-;34592,10;-;3777,29;12673,82;40212,02;-;-;11910,89;-;41789,96;10536,67;-;-;-;-;-;-;16593,82;-;-;-;-;16600,23;-;-;-;-;-;-;-;-;60725,24;-;45318,74;-;16067,93;-;56313,45;162721,62;70262,83;416859,86;696592,73;2182245,43;4587551,34;8866539,55;18060698,02;16437146,09;16383367,36;16967319,09;18401780,88;16676061,72;18030220,30;17668105,59;17495759,86;18397990,32;16437847,47;15994415,78;17365504,58;15293751,77;16106494,94;14779206,17;17254073,33;18400380,22;18519350,73;16706034,11;17201473,11;18109194,42;18857578,34;17462663,52;16496784,27;12792571,64;8180887,21;468545063,61
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;369426,19;1204807,46;3294186,42;3929786,78;6758563,75;10057876,32;9465338,97;9455876,39;10229651,99;11156849,60;9818775,39;10144599,12;10075280,52;9641013,11;9980401,55;9282433,76;9240681,24;9626956,33;9186554,56;9226713,03;8721205,93;9419572,73;10458350,95;11700344,16;12434101,29;11488626,57;12571979,79;11816872,93;10997949,03;7149727,62;4129845,36;3081081,42;276115430,26
"29 Bahia";2915442,91;-;57970,81;-;57970,81;-;-;-;-;-;-;-;-;-;-;57089,57;-;36453,83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57900,19;-;-;-;-;-;531196,80;14257,73;-;-;79143,60;-;-;32879,37;-;11143,40;-;-;-;-;-;472542,75;1244666,98;60340,98;27119,61;-;-;41186,95;-;-;193804,88;-;-;-;-;68167,76;-;-;141395,26;-;64575,83;13716,58;-;67581,48;-;63392,11;22548,14;185621,25;71048,62;-;-;36303,61;8050,36;11669,56;36047,61;-;11516,05;-;22819,21;63694,16;6663,68;148121,00;62316,63;-;41731,97;167827,96;-;98770,82;-;31502,32;50117,20;244911,19;17425,97;25791,70;161613,47;71730,08;71194,46;47528,39;171236,79;70416,93;154524,02;51618,00;78695,84;423944,35;303851,93;28078,10;84965,26;67168,69;280185,26;320283,37;981233,33;2213491,56;10642993,56;24025461,89;44537307,00;70117168,14;66837610,70;69982697,43;73302540,67;79429195,01;70572836,97;79605766,07;77884805,29;75454182,43;79091225,65;72319532,73;68683274,52;74411149,74;67813367,37;70998470,80;60139434,01;66384257,10;78676674,20;91011171,04;86230665,84;78135509,62;82912397,81;81866088,87;83131785,74;70325599,07;55544579,04;31314602,44;2054638549,78
"31 Minas Gerais";1539254,55;-;-;-;-;40804,76;34786,04;-;34786,04;-;-;5762,36;-;-;69572,08;-;-;-;-;54642,25;-;-;-;-;-;-;-;31989,60;34786,04;-;50102,74;-;-;-;-;-;166078,08;51615,91;61575,85;5648,80;-;-;-;-;-;-;-;34786,04;197576,10;30549,01;34786,04;-;34786,04;69572,08;54270,64;34786,04;40976,33;-;-;-;112613,06;51615,91;118306,81;-;-;69572,08;54642,25;86401,95;31989,60;34786,04;-;-;16778,65;-;121066,37;53889,32;-;24501,67;-;109542,23;34786,04;86401,95;-;34786,04;12174,31;160219,36;9533,32;152210,48;-;-;2514,88;-;9742,03;8304,58;57420,65;106010,56;73168,41;101769,62;71565,39;2832,99;110379,10;65004,93;51615,91;230451,99;141220,00;130966,23;29700,37;72780,27;145694,58;40804,76;552778,61;60932,14;194448,60;116485,36;102661,64;62680,30;61595,41;202094,97;59944,90;135418,44;70560,67;164138,50;49009,82;162967,21;205118,42;155818,85;922400,83;1842666,11;5802926,00;24401753,79;44139074,55;93549599,87;153236422,57;142690772,52;151976196,81;157957866,20;163641094,76;154174153,49;166775913,85;161774658,77;157437833,94;166165125,18;152171503,07;152473281,15;158265777,55;141463360,42;147654942,70;127447290,37;142746287,34;157276616,50;177466638,10;182176122,99;181422500,43;174585638,28;168564708,16;166376967,67;155064483,25;119877417,15;79780838,00;4339200744,32
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6863,99;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34307,47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84,74;42,37;-;1313,48;-;-;-;15704,19;296897,12;3759573,41;7090894,38;15353534,14;25201039,31;24710171,75;26740727,97;25983304,03;28690916,87;25936888,97;28550512,79;29318260,49;27519132,91;29788885,15;26294165,36;25250918,87;27615604,26;26601451,82;26689904,87;24003052,09;29290756,45;31958199,08;41931102,65;36405257,36;34491126,71;34800541,67;35708727,33;40500910,57;33767261,13;25669612,63;15606368,11;815584016,49
"33 Rio de Janeiro";4323548,31;42246,09;46149,37;60436,77;1196,35;31684,01;40804,76;65465,03;-;-;-;86300,55;75595,67;40804,76;64711,08;81609,52;64039,55;40804,76;-;100699,50;31684,01;81609,52;113965,06;35834,63;30019,58;59637,64;87007,35;45435,80;83150,26;57802,61;81637,49;-;8697,72;31684,01;70474,84;-;-;154098,29;117343,62;47514,43;75441,91;13021,73;33224,75;31684,01;83150,26;74701,04;38095,47;45654,71;251454,65;64658,06;142798,92;146520,23;132722,31;105963,15;310401,66;105705,00;256233,19;251085,91;328191,41;190263,64;2320963,46;262968,69;314754,69;368367,44;380991,75;403141,67;193470,52;213416,09;152407,71;374873,86;116438,78;459365,03;666631,99;402993,13;509804,67;144214,71;165308,00;602079,02;167725,12;161991,41;522537,79;254693,39;425900,41;500442,15;379105,28;512198,32;404643,72;95927,75;501657,85;558990,55;889152,46;510536,51;587394,88;960295,63;299039,16;260334,72;1187992,57;515464,31;1282847,97;265743,62;286966,22;261736,38;7350640,19;2279207,25;572686,07;692497,21;569090,53;1831115,03;927263,55;1357806,21;364077,17;319547,73;1004596,90;389778,42;408129,34;869768,67;440158,36;563993,33;560854,69;481637,78;824023,30;534490,00;400353,72;605272,54;980590,09;934484,65;1501092,29;2158547,84;4686474,25;14258960,65;25278503,70;47070333,06;79663329,44;74142875,38;75063150,71;76859575,91;82670993,34;78689231,48;88182408,00;83624113,30;81561944,39;82534679,94;74778468,98;75149065,87;80411863,59;73147214,02;74595986,00;69437941,81;89725279,21;88135690,57;95941141,03;89795469,41;81886688,22;80570244,20;82807309,85;90567351,87;87201907,99;60873103,08;49149884,48;2296213060,92
"35 São Paulo";60573589,45;519750,65;304046,70;236685,07;239509,12;365406,75;182093,93;435776,67;325252,31;695003,63;1683918,83;28107,68;400919,19;189464,99;238878,02;342056,42;116653,72;197409,13;147625,63;205596,44;443135,02;234550,24;861941,92;149860,63;178133,90;52959,82;359988,68;120037,00;597896,88;428553,76;387536,44;3026475,45;349850,32;1784454,09;852466,92;394212,55;241208,74;239947,45;257355,04;392063,06;133605,64;434565,43;435135,21;641055,86;476090,47;454669,52;385676,78;391407,45;376489,94;379657,82;288243,49;430510,44;176579,43;710240,50;498918,96;361379,39;814348,43;2970397,04;364157,44;600080,18;766051,80;498278,84;625823,78;287318,57;597069,02;449985,08;348156,41;377659,00;446693,11;4864857,98;705676,81;444034,37;1113245,72;185625,06;483417,78;320995,56;553928,85;493356,35;520963,66;2249428,44;2310541,93;372746,10;374412,48;585914,93;693057,65;498989,48;432951,88;514702,78;464933,60;1092639,96;486850,74;690001,17;806344,69;532997,69;447717,64;601140,47;1080942,26;564751,98;818186,38;1469819,51;460764,45;619995,55;277463,93;620747,86;499826,25;584280,56;611854,01;489309,94;1130955,95;566174,29;777805,54;528839,61;453087,72;627762,29;504725,14;1395604,02;257350,95;1623141,89;801541,13;976458,50;840338,02;1161593,24;688644,50;1135866,78;1267055,76;1493531,00;2876079,09;4621183,53;9942348,22;41950171,52;67194839,77;153021015,59;291893655,29;268083525,99;287154994,64;292870544,04;309140915,40;281621767,01;307195118,45;303584114,00;294084067,68;303866355,88;282791833,07;273357491,41;303865927,27;272050698,90;277938674,53;255178741,12;314276263,03;328293581,02;361986896,25;350268671,25;338872478,49;328055822,63;324599773,40;326846228,95;324115425,70;268193064,06;177408317,71;8468871094,94
