 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Período:Jan/2019-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"41 Paraná";-;-;-;-;-;-;19320,87;-;-;-;-;-;-;-;-;-;-;-;19320,87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19320,87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37623,89;-;-;-;-;-;-;-;-;-;-;19320,87;34786,04;-;-;-;-;-;4237,03;-;-;-;-;-;-;-;-;78775,16;16028,47;-;-;-;-;15677,59;-;-;6525,03;-;-;-;-;237742,43;6362,65;2188,75;-;835,63;58856,01;12219,20;41768,01;141681,23;75596,18;806108,49;2604204,23;4831053,24;15696792,39;28792105,96;62110240,70;124159239,68;117715473,32;123907372,22;127464502,39;132608039,80;124865873,14;134708659,18;127174381,95;126203976,57;133870601,68;126221140,81;113573832,72;122330101,96;116125740,39;114776571,27;97784060,57;111012770,38;115203716,64;123856640,55;125089468,62;121771167,11;127506086,52;133443307,36;122146256,92;106948897,53;83130175,37;43480729,07;3292767475,51
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33317,21;-;-;-;-;32669,21;-;-;34110,27;-;35617,61;-;-;-;-;32669,21;-;-;-;-;-;-;145010,09;32669,21;31401,39;-;65338,42;623760,80;2861334,54;-;18781,81;-;65077,94;62896,89;1664,02;5541,12;-;-;99884,69;-;32669,21;15560,96;20933,12;4021,19;64530,65;3003,17;79613,73;517,60;119765,15;63429,19;61743,97;-;70252,86;175857,44;821477,93;4794805,28;16558525,64;36626255,72;59452473,88;57182686,76;61547622,60;62789395,37;65843378,54;61835873,28;68759673,19;64503540,72;66104751,12;67767791,67;62660639,01;58348117,73;64687109,66;59783741,66;56966558,85;51404497,97;58102128,66;63114103,11;79459229,80;75061205,12;67838476,77;70993555,10;79448753,69;72720675,11;57281832,19;47429335,91;19375822,56;1744157677,27
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40755,06;-;-;-;-;-;-;-;4700,22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4075,50;4617,76;-;-;-;1228,74;26419,68;41608,69;33336,36;-;-;11214,56;19872,86;33417,98;34972,93;15427,47;28485,88;188702,41;643041,01;1782602,91;5871157,47;15580584,81;33138287,04;60749958,64;92467100,02;85301000,44;91624338,70;92787953,22;99143937,75;95862593,49;103044767,94;98566147,88;94371567,58;96973500,30;91006554,37;88764855,22;97614085,43;85488519,32;84881491,62;76806748,32;87777332,11;96799361,58;108536525,93;111762290,19;110107867,30;113886837,47;116738266,69;116833971,73;102317646,36;84404640,00;37798832,80;2679923201,74
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22415,28;-;-;-;-;-;-;-;-;-;40804,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11033,69;-;-;966,34;-;16286,11;21085,00;14025,17;45561,58;476362,91;1366411,70;5024398,40;9364495,55;13423542,30;16902636,63;16964922,58;17259392,23;18147562,63;19143242,28;17905638,97;18126954,44;19217982,14;18904364,43;18812185,96;18316480,80;17844511,04;18654501,49;17877667,41;17395566,03;15854121,13;17502042,14;19724932,28;23639938,85;22608351,55;21519151,07;21825003,22;21418665,16;21387005,58;16027788,65;11428462,42;4035989,77;518272449,67
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10420,06;-;-;-;-;-;-;-;-;-;-;43610,67;-;-;-;-;314,44;29232,08;-;4378,54;-;-;106406,50;13794,21;65951,15;320987,19;1424978,13;4682281,64;8476121,77;15055383,98;14478906,98;15976701,25;16026760,63;17304334,81;16131820,19;16467803,96;16532335,42;15596133,69;16564324,20;15122951,39;13839763,36;15546808,82;14460507,38;14493916,52;12187688,07;14675991,52;18546814,06;20681571,71;20936140,39;20176196,43;20387936,40;18316623,02;18852854,81;15890528,31;13207979,82;8835890,09;451473143,59
"52 Goiás";4458797,25;-;-;-;-;127907,01;60213,59;59575,90;63944,64;-;121253,81;-;-;59594,62;-;-;-;62596,55;-;28530,07;-;119472,11;60267,82;127221,04;61020,25;-;60628,60;1129,76;80700,42;-;-;31684,01;61739,85;-;-;-;-;-;59369,35;-;120316,36;-;-;-;61972,52;179820,97;60114,62;-;-;128450,23;-;134470,27;-;182323,01;26471,94;65583,10;-;72123,90;60581,07;119608,68;-;-;59131,57;145044,27;60912,65;-;121661,82;29137,55;-;128388,66;1129,76;-;-;-;-;61824,42;61275,03;-;-;-;118730,70;-;60502,79;253387,14;21800,31;-;137877,80;232710,26;60455,10;121598,22;63824,83;60383,81;134317,70;19777,16;52197,08;181326,37;160664,98;127822,63;178160,30;129308,73;-;73248,85;165572,07;206783,21;124470,32;89228,94;60548,75;63146,40;31684,01;118401,36;246796,76;7225,32;-;65918,91;64787,18;62208,12;120181,32;60992,55;181157,29;370578,52;315726,03;124747,58;130414,45;144914,77;347486,90;345036,27;1163478,86;1870829,45;2545530,15;4623030,34;6510379,82;17792445,13;34795831,02;33292972,66;34964737,78;36236325,32;37829806,86;35400944,86;36502552,32;38533573,53;36415308,03;37217715,53;36302392,68;34078918,26;36432399,98;34248522,76;34808037,62;28760754,83;35104476,04;38888207,13;45871329,20;47568155,41;47951326,80;45304843,74;39785408,90;37614253,55;35655886,73;32253788,65;24867001,02;1044413255,80
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26027,50;-;6880,65;-;34154,65;245060,53;222027,60;898216,77;2932216,45;6001754,41;12339786,49;19662949,33;18270823,61;20046081,24;20602037,52;21101108,01;19361819,39;21514926,74;21133361,51;20963621,60;21333585,20;19617400,92;19207148,01;20429251,56;18249176,79;19623112,14;18164306,94;21657768,52;25045580,62;26428483,82;23875303,68;21771866,33;23087586,62;20668526,36;22552034,04;22573869,50;19004029,87;14731938,43;583383823,35
"Total";74355986,84;561996,74;408166,88;317227,84;363437,06;607592,49;337219,19;560817,60;445603,05;723730,98;1805172,64;120170,59;683620,13;317050,98;400953,29;480755,51;180693,27;346459,00;179023,91;389468,26;515623,79;435631,87;1036174,80;312916,30;2493531,47;112597,46;545397,59;280648,98;1307019,47;486356,37;519276,67;3164321,40;455526,07;1923095,28;922941,76;505145,82;651518,96;545351,80;584012,75;538068,28;393776,78;447587,16;563537,92;1245726,63;663949,82;709191,53;523300,00;606470,41;947983,21;610374,74;498707,82;793246,63;355231,18;1149708,26;928879,89;602021,30;1127263,54;3335396,81;1249180,18;2154619,48;3358924,59;958321,83;1159806,81;919281,64;1101780,43;1072791,65;717931,00;926462,94;631090,42;5469556,00;827221,44;916222,34;2191990,07;656013,16;1211972,64;844534,76;793881,52;1283361,99;801281,19;2601300,04;3057458,21;807446,70;1006011,77;1691017,12;1640112,25;1295344,49;1046176,10;1128149,45;1145158,51;1858530,35;1515981,13;1529502,15;1585611,96;1550013,66;868285,42;1321309,42;2976285,21;1444319,41;2575311,79;2010289,09;1073374,03;1746358,31;11117009,11;3462792,97;1596046,82;1633511,89;1459363,45;2654911,13;2678461,82;2337620,28;2134097,11;1140547,55;2009373,47;1376293,60;1318712,24;2856280,63;1691697,11;2874122,11;1855174,21;2180531,57;2887213,16;2844343,48;1676918,20;2505605,51;3392598,22;4243337,43;9444332,75;20197075,81;52045192,24;190580200,61;356608187,22;734044991,43;1288727968,63;1205467417,44;1278645398,36;1308069377,81;1381528751,76;1281021761,32;1392955158,51;1362485788,21;1332961934,63;1379320687,57;1285371843,63;1237798377,42;1337012983,18;1220535044,05;1228127285,33;1096223007,75;1318927847,52;1407546532,91;1557715742,07;1517383645,93;1455543824,67;1455575204,34;1450857674,98;1451868546,56;1335800905,13;1052795454,22;652420247,87;36882677184,35
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
